fold,marginBand,entropyBand,feature_availability,top1_agreement,races,residualOnlyCorrect,treeOnlyCorrect,residualLogLossImprovementRate,meanResidualLogLossDelta
4,"(0.244, 0.376]","(0.802, 0.986]",1.0,1.0,544,0,0,0.5275735294117647,0.011960850926874034
4,"(0.376, 0.506]","(0.305, 0.642]",0.9444444444444445,1.0,1,0,0,0.0,0.08842205767661637
4,"(0.376, 0.506]","(0.305, 0.642]",1.0,1.0,278,0,0,0.579136690647482,-0.018064807417199142
4,"(0.376, 0.506]","(0.642, 0.723]",0.9444444444444445,1.0,1,0,0,0.0,0.2989462559792164
4,"(0.376, 0.506]","(0.642, 0.723]",1.0,1.0,1231,0,0,0.5393988627132412,0.004868326935042064
4,"(0.376, 0.506]","(0.723, 0.802]",1.0,1.0,519,0,0,0.5433526011560693,0.011761909184657676
4,"(0.376, 0.506]","(0.802, 0.986]",1.0,1.0,16,0,0,0.5625,0.026018343668451977
4,"(0.506, 0.813]","(0.305, 0.642]",0.9444444444444445,1.0,2,0,0,0.5,-0.01858328890511285
4,"(0.506, 0.813]","(0.305, 0.642]",1.0,1.0,1733,0,0,0.38603577611079054,0.024538223282277043
4,"(0.506, 0.813]","(0.642, 0.723]",1.0,1.0,332,0,0,0.45481927710843373,0.01266183922297666
5,"(-0.0009509, 0.244]","(0.305, 0.642]",1.0,1.0,8,0,0,0.5,-0.044974554261440355
5,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,0.0,9,4,3,0.6666666666666666,-0.09770073077858304
5,"(-0.0009509, 0.244]","(0.642, 0.723]",1.0,1.0,76,0,0,0.5131578947368421,-0.0011556431146843337
5,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,0.0,40,21,10,0.6,-0.07561061932968584
5,"(-0.0009509, 0.244]","(0.723, 0.802]",1.0,1.0,425,0,0,0.5058823529411764,0.0026180252334918447
5,"(-0.0009509, 0.244]","(0.802, 0.986]",0.9444444444444445,1.0,4,0,0,1.0,-0.06524413403494578
5,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,0.0,140,37,47,0.45,0.012716847047714117
5,"(-0.0009509, 0.244]","(0.802, 0.986]",1.0,1.0,1238,0,0,0.4886914378029079,0.016404288452275588
5,"(0.244, 0.376]","(0.305, 0.642]",1.0,1.0,49,0,0,0.5918367346938775,0.018362075498295233
5,"(0.244, 0.376]","(0.642, 0.723]",1.0,0.0,1,0,1,0.0,0.4648203143751518
5,"(0.244, 0.376]","(0.642, 0.723]",1.0,1.0,424,0,0,0.5165094339622641,0.009639538347398802
5,"(0.244, 0.376]","(0.723, 0.802]",0.9444444444444445,1.0,2,0,0,1.0,-0.10914893954510896
5,"(0.244, 0.376]","(0.723, 0.802]",1.0,0.0,3,1,1,0.6666666666666666,-0.06505624584362142
5,"(0.244, 0.376]","(0.723, 0.802]",1.0,1.0,942,0,0,0.559447983014862,0.0024720386235525258
5,"(0.244, 0.376]","(0.802, 0.986]",0.9444444444444445,1.0,2,0,0,0.0,0.051044800829822434
5,"(0.244, 0.376]","(0.802, 0.986]",1.0,1.0,508,0,0,0.5846456692913385,0.001053620102461472
5,"(0.376, 0.506]","(0.305, 0.642]",1.0,0.0,1,0,1,0.0,0.6229174310513699
5,"(0.376, 0.506]","(0.305, 0.642]",1.0,1.0,330,0,0,0.5909090909090909,-0.013483317550689778
5,"(0.376, 0.506]","(0.642, 0.723]",0.9444444444444445,1.0,1,0,0,1.0,-0.2305488425619719
5,"(0.376, 0.506]","(0.642, 0.723]",1.0,0.0,2,0,2,0.0,0.6793165175860348
5,"(0.376, 0.506]","(0.642, 0.723]",1.0,1.0,1094,0,0,0.5457038391224863,0.006344997853201233
5,"(0.376, 0.506]","(0.723, 0.802]",1.0,0.0,1,1,0,1.0,-0.7174254988542272
5,"(0.376, 0.506]","(0.723, 0.802]",1.0,1.0,443,0,0,0.5869074492099323,-0.014243299963741548
5,"(0.376, 0.506]","(0.802, 0.986]",1.0,1.0,15,0,0,0.6666666666666666,-0.016160649019360582
5,"(0.506, 0.813]","(0.305, 0.642]",0.9444444444444445,1.0,2,0,0,0.5,0.08917346788578917
5,"(0.506, 0.813]","(0.305, 0.642]",1.0,1.0,1810,0,0,0.4016574585635359,0.01771733292157004
5,"(0.506, 0.813]","(0.642, 0.723]",1.0,1.0,278,0,0,0.5107913669064749,0.015244174390514805
5,"(0.506, 0.813]","(0.723, 0.802]",1.0,1.0,1,0,0,1.0,-0.08922792680926533
