modelName,dimension,segment,raceCount,logLossDelta,brierDelta,top1Delta,eceDelta
residual_c01_a05,venue,7,1680,0.054232085250954354,0.01495684306081324,-0.0017857142857142794,0.027674921366885347
residual_c01_a05,venue,8,1766,0.05426920049615225,0.018649940366328943,-0.003963759909399789,0.01682748695527516
residual_c01_a05,venue,9,1594,0.037763873854405716,0.014083012311699616,-0.008155583437892022,0.02983668379020763
residual_c01_a05,month,2025-08,275,0.04030892281251219,0.013493351919202978,-0.0072727272727272085,-0.026001957295147843
residual_c01_a05,month,2025-09,3625,0.046297756206636675,0.016895476787270658,-0.007172413793103405,0.03791153625895233
residual_c01_a05,month,2025-10,3538,0.03631374544197574,0.01436734324769362,-0.0025438100621819615,0.03316424091221081
residual_c01_a05,month,2025-11,3340,0.03951916683075063,0.014050729773798842,-0.002095808383233533,0.02595605758946644
residual_c01_a05,month,2025-12,4008,0.04211585700249709,0.014919491470049784,-0.0037425149700599514,0.021763602073259378
residual_c01_a05,month,2026-01,4356,0.040014936619959585,0.013392052339036842,-0.005968778696051391,0.019517827280015193
residual_c01_a05,month,2026-02,3545,0.04044861823484536,0.014015648621427346,-0.001692524682651575,0.020509792112248543
residual_c01_a05,month,2026-03,3811,0.04515973264326756,0.01774373465445067,-0.006559958016268741,0.012762605762510485
residual_c01_a05,month,2026-04,1824,0.04987095713080514,0.01799437589012043,-0.005482456140350811,0.013766603264821303
residual_c01_a05,month,2026-05,3677,0.045002048304073394,0.016107091687250108,-0.005711177590426941,0.02834154643211065
residual_c01_a05,month,2026-06,3827,0.04592005651554332,0.017906408340513602,-0.007055134570159494,0.03444559380233472
residual_c01_a05,month,2026-07,2184,0.04270118682473645,0.01604039643459465,-0.007783882783882756,0.03215348992207037
residual_c01_a05,topPickLane,1,38010,0.04271029954933869,0.015621294138601471,-0.005024993422783397,0.02526369556950319
residual_c01_a05,featureCoverage,3,38010,0.04271029954933869,0.015621294138601471,-0.005024993422783397,0.02526369556950319
